"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://gfbalex.com/","text/html; charset=utf-8","200","OK","Indexable","","Governance and Management Institute","35","348","","0","0","","0","Our Training Programs","21","Our Vision","10","Mission","7","","","","","","","","","","27923","6565","6565","2.515","","647","119","5.437","33.816","Hard","18.427","0","0","","3","1","0","100.000","3","1","0","6","6","0","","","","","ac494232eaf52080ee0604ef2ccb45b6","0.747","","","","","en","1.1","","","","","","https://gfbalex.com/","2025-11-15 00:53:10"
"https://gfbalex.com/media/programs/Certified_Internal_Control_Specialist.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","143986","143986","143986","55.158","","0","","","","","0.000","1","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.402","Tue, 08 Apr 2025 13:41:06 GMT","","","","","1.1","","","","","","https://gfbalex.com/media/programs/Certified_Internal_Control_Specialist.jpg","2025-11-15 00:53:12"
"https://gfbalex.com/media/programs/Professional_Certificate_in_Enterprise_Risk_Management_ERM.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","191296","191296","191296","73.282","","0","","","","","0.000","1","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.854","Tue, 08 Apr 2025 13:41:35 GMT","","","","","1.1","","","","","","https://gfbalex.com/media/programs/Professional_Certificate_in_Enterprise_Risk_Management_ERM.jpg","2025-11-15 00:53:12"
"https://gfbalex.com/media/programs/Professional_Certificate_in_Internal_Audit.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","143632","143632","143632","55.023","","0","","","","","0.000","1","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.821","Tue, 08 Apr 2025 13:41:24 GMT","","","","","1.1","","","","","","https://gfbalex.com/media/programs/Professional_Certificate_in_Internal_Audit.jpg","2025-11-15 00:53:13"
"https://gfbalex.com/media/programs/Professional_Certificate_in_Compliance.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","167645","167645","167645","64.222","","0","","","","","0.000","1","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.807","Tue, 08 Apr 2025 13:42:06 GMT","","","","","1.1","","","","","","https://gfbalex.com/media/programs/Professional_Certificate_in_Compliance.jpg","2025-11-15 00:53:13"
"https://gfbalex.com/media/programs/Governance__Risk_and_Compliance_GRC_Certificate_Program.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","156390","156390","156390","59.910","","0","","","","","0.000","1","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.822","Tue, 08 Apr 2025 13:41:45 GMT","","","","","1.1","","","","","","https://gfbalex.com/media/programs/Governance__Risk_and_Compliance_GRC_Certificate_Program.jpg","2025-11-15 00:53:13"
"https://gfbalex.com/static/site_static/images/vision.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","118812","118812","118812","45.515","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.835","Mon, 07 Apr 2025 07:46:32 GMT","","","","","1.1","","","","","","https://gfbalex.com/static/site_static/images/vision.jpg","2025-11-15 00:53:14"
"https://gfbalex.com/static/site_static/images/Why_GMI.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","66991","66991","66991","25.663","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.811","Mon, 07 Apr 2025 07:46:32 GMT","","","","","1.1","","","","","","https://gfbalex.com/static/site_static/images/Why_GMI.jpg","2025-11-15 00:53:14"
"https://gfbalex.com/static/site_static/images/Consultancy.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","254101","254101","254101","97.341","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.814","Mon, 07 Apr 2025 07:46:32 GMT","","","","","1.1","","","","","","https://gfbalex.com/static/site_static/images/Consultancy.jpg","2025-11-15 00:53:14"
"https://gfbalex.com/static/site_static/images/BANNER.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","52946","52946","52946","20.283","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.808","Tue, 08 Apr 2025 10:19:22 GMT","","","","","1.1","","","","","","https://gfbalex.com/static/site_static/images/BANNER.png","2025-11-15 00:53:14"
"https://gfbalex.com/media/programs/Professional_Certificate_in_Corporate_Governance.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","156390","156390","156390","59.910","","0","","","","","0.000","1","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.813","Tue, 08 Apr 2025 13:40:38 GMT","","","","","1.1","","","","","","https://gfbalex.com/media/programs/Professional_Certificate_in_Corporate_Governance.jpg","2025-11-15 00:53:15"
